Scanning code references (one pass)...
Files: 2314
Code refs scanned.


=== USER (4 tables) ===
  api_logs                                          10 rows  Code:0
  price_history                                      6 rows  Code:4
  performance_logs                                   5 rows  Code:5
  registry_activity_log                              5 rows  Code:4
  user_activity_logs                                 5 rows  Code:3
  user_browsing_history                              5 rows  Code:7
  security_logs                                      4 rows  Code:8
  user_search_history                                4 rows  Code:0
  communication_logs                                 3 rows  Code:0
  integration_activity_logs                          3 rows  Code:0
  integration_logs                                   3 rows  Code:1
  inventory_log                                      3 rows  Code:0
  security_audit_log                                 3 rows  Code:3
  security_blacklist                                 3 rows  Code:0
  security_events                                    3 rows  Code:16
  security_rate_limits                               3 rows  Code:0
  activity_logs_unified                              2 rows  Code:43
  user_activity                                      2 rows  Code:12
  api_request_logs                                   1 rows  Code:1
  audit_log_archive                                  1 rows  Code:1
  audit_schedules                                    1 rows  Code:1
  daily_activity_tracker                             1 rows  Code:0
  data_change_log                                    1 rows  Code:0
  event_log                                          1 rows  Code:21
  file_access_logs                                   1 rows  Code:2
  financial_integration_log                          1 rows  Code:0
  foreclosure_logs                                   1 rows  Code:4
  mcp_config_history                                 1 rows  Code:0
  plan_status_history                                1 rows  Code:1
  quick_actions_log                                  1 rows  Code:0
  security_sessions                                  1 rows  Code:0
  sync_log                                           1 rows  Code:0
  system_health_logs                                 1 rows  Code:0
  system_logs                                        1 rows  Code:19
  task_execution_logs                                1 rows  Code:9
  upload_audit_log                                   1 rows  Code:0
  user_behavior_tracking                             1 rows  Code:0

=== ANALYTICS (29 tables) ===
  mobile_app_analytics                              10 rows  Code:0
  admin_dashboard_stats                              9 rows  Code:0
  daily_metrics_summary                              6 rows  Code:0
  kpis                                               6 rows  Code:5
  performance_metrics                                6 rows  Code:12
  analytics_user_behavior                            5 rows  Code:1
  performance_analytics                              5 rows  Code:0
  user_analytics                                     4 rows  Code:0
  user_behavior_analytics                            4 rows  Code:0
  analytics_reports                                  3 rows  Code:0
  employee_kpis                                      3 rows  Code:7
  forecast_results                                   3 rows  Code:1
  market_analytics_summary                           3 rows  Code:0
  system_metrics                                     3 rows  Code:5
  analytics_dashboards                               2 rows  Code:0
  system_status                                      2 rows  Code:0
  analytics_alerts                                   1 rows  Code:1
  analytics_conversions                              1 rows  Code:3
  analytics_events                                   1 rows  Code:11
  analytics_performance                              1 rows  Code:0
  analytics_summary                                  1 rows  Code:0
  api_analytics                                      1 rows  Code:0
  comparison_analytics                               1 rows  Code:2
  conversion_analytics                               1 rows  Code:0
  load_test_metrics                                  1 rows  Code:0
  portfolio_analytics                                1 rows  Code:3
  system_analytics_metrics                           1 rows  Code:1
  traffic_stats                                      1 rows  Code:0
  training_analytics                                 1 rows  Code:0

=== SETTINGS (17 tables) ===
  site_settings                                     45 rows  Code:22
  app_config                                        44 rows  Code:0
  mcp_server_configs                                12 rows  Code:0
  recommendation_settings                           11 rows  Code:0
  settings                                          10 rows  Code:5
  system_settings                                   10 rows  Code:1
  email_config                                       9 rows  Code:1
  dashboard_widgets_config                           7 rows  Code:0
  sms_config                                         6 rows  Code:0
  api_configs                                        5 rows  Code:0
  company_projects                                   2 rows  Code:0
  user_dashboard_configs                             2 rows  Code:1
  company_settings                                   1 rows  Code:5
  gst_settings                                       1 rows  Code:1
  integration_settings                               1 rows  Code:0
  layout_settings                                    1 rows  Code:2
  mobile_app_settings                                1 rows  Code:0

=== API (8 tables) ===
  api_keys                                          11 rows  Code:22
  api_tokens                                         3 rows  Code:8
  api_developers                                     2 rows  Code:4
  api_integrations                                   1 rows  Code:2
  integrations                                       1 rows  Code:0
  third_party_integrations                           1 rows  Code:1
  webhook_events                                     1 rows  Code:0
  webhooks                                           1 rows  Code:0

=== AUTH (6 tables) ===
  possession_checklist                               7 rows  Code:5
  two_factor_tokens                                  3 rows  Code:4
  password_reset_tokens                              2 rows  Code:9
  mobile_app_tokens                                  1 rows  Code:0
  remember_tokens                                    1 rows  Code:5
  user_sessions                                      1 rows  Code:6

=== PERMISSION (9 tables) ===
  admin_role_menu_permissions                      654 rows  Code:5
  role_menus                                       370 rows  Code:0
  user_role_permissions                             29 rows  Code:0
  role_permissions                                  23 rows  Code:2
  permissions                                       13 rows  Code:3
  user_permissions                                   6 rows  Code:0
  admin_user_menu_permissions                        5 rows  Code:5
  user_roles                                         5 rows  Code:16
  role_change_approvals                              2 rows  Code:0

=== MENU (1 tables) ===
  admin_menu_items                                 182 rows  Code:5

=== FILE (19 tables) ===
  document_types                                    10 rows  Code:9
  generated_documents                                7 rows  Code:8
  document_categories                                6 rows  Code:16
  documents                                          6 rows  Code:14
  legal_documents                                    6 rows  Code:7
  file_tag_relations                                 5 rows  Code:3
  file_tags                                          5 rows  Code:3
  file_uploads                                       4 rows  Code:0
  business_documents                                 3 rows  Code:2
  customer_documents                                 3 rows  Code:4
  document_classification                            3 rows  Code:3
  document_templates                                 3 rows  Code:6
  employee_documents                                 3 rows  Code:9
  legal_document_templates                           3 rows  Code:1
  ocr_documents                                      3 rows  Code:5
  user_documents                                     3 rows  Code:3
  file_shares                                        2 rows  Code:1
  file_versions                                      2 rows  Code:4
  message_attachments                                1 rows  Code:2

=== WORKFLOW (15 tables) ===
  workflow_steps                                  8595 rows  Code:5
  scheduled_tasks                                 3944 rows  Code:15
  workflow_executions                               65 rows  Code:2
  compliance_tasks                                   5 rows  Code:6
  employee_tasks                                     5 rows  Code:1
  tasks                                              5 rows  Code:41
  task_queue                                         4 rows  Code:2
  task_executions                                    3 rows  Code:0
  workflow_actions                                   3 rows  Code:1
  workflow_definitions                               3 rows  Code:4
  workflow_instances                                 3 rows  Code:8
  task_dependencies                                  2 rows  Code:4
  async_tasks                                        1 rows  Code:31
  workflow_automations                               1 rows  Code:0
  workflows                                          1 rows  Code:0

=== GAMIFICATION (7 tables) ===
  badges                                             6 rows  Code:9
  gamification_badges                                6 rows  Code:3
  achievements                                       3 rows  Code:1
  challenge_participants                             1 rows  Code:5
  gamification_challenges                            1 rows  Code:4
  user_achievements                                  1 rows  Code:1
  user_badges                                        1 rows  Code:13

=== TRAINING (13 tables) ===
  personalized_learning_plans                       24 rows  Code:0
  training_modules                                   8 rows  Code:7
  module_progress                                    4 rows  Code:6
  training_courses                                   4 rows  Code:20
  training_certificates                              3 rows  Code:4
  training_enrollments                               3 rows  Code:14
  chatbot_training_data                              1 rows  Code:3
  course_modules                                     1 rows  Code:5
  learning_paths                                     1 rows  Code:0
  training_lessons                                   1 rows  Code:6
  training_quiz_results                              1 rows  Code:0
  training_quizzes                                   1 rows  Code:5
  user_course_enrollments                            1 rows  Code:13

=== CAREER (2 tables) ===
  careers                                           11 rows  Code:14
  career_applications                                1 rows  Code:8

=== SCHEDULER (4 tables) ===
  sync_queue                                       666 rows  Code:2
  work_schedules                                     3 rows  Code:7
  sync_mappings                                      1 rows  Code:0
  sync_queue_summary                                 1 rows  Code:0

=== REPORT (9 tables) ===
  employee_reporting                                 4 rows  Code:0
  defect_reports                                     3 rows  Code:6
  performance_reports                                3 rows  Code:0
  portfolio_reports                                  3 rows  Code:0
  reports                                            3 rows  Code:2
  saved_reports                                      3 rows  Code:3
  crash_reports                                      2 rows  Code:0
  admin_reports                                      1 rows  Code:0
  report_executions                                  1 rows  Code:0

=== OTHER (159 tables) ===
  cities                                          1120 rows  Code:13
  activities                                       300 rows  Code:4
  system_activities                                 91 rows  Code:1
  properties                                        72 rows  Code:531
  user_summary                                      56 rows  Code:0
  users_backup_20260320                             38 rows  Code:0
  comparison_criteria                               20 rows  Code:3
  schema_migrations                                 20 rows  Code:0
  translations                                      20 rows  Code:14
  chatbot_conversations                             17 rows  Code:17
  languages                                         15 rows  Code:0
  multi_language_translations                       15 rows  Code:0
  pages                                             14 rows  Code:5
  mcp_servers                                       12 rows  Code:0
  sales_data                                        12 rows  Code:3
  opportunities                                     10 rows  Code:23
  tier_benefits                                     10 rows  Code:3
  email_templates                                    8 rows  Code:14
  inquiries                                          8 rows  Code:36
  dashboard_widgets                                  7 rows  Code:1
  roles                                              7 rows  Code:11
  conversation_participants                          6 rows  Code:23
  customer_favorites                                 6 rows  Code:11
  installments                                       6 rows  Code:0
  scoring_thresholds                                 6 rows  Code:3
  services                                           6 rows  Code:0
  sites                                              6 rows  Code:54
  budget_items                                       5 rows  Code:6
  customer_wishlist                                  5 rows  Code:3
  employee_activities                                5 rows  Code:5
  funding_investors                                  5 rows  Code:0
  gata_master                                        5 rows  Code:2
  hsn_sac_codes                                      5 rows  Code:3
  jobs                                               5 rows  Code:9
  journal_entry_details                              5 rows  Code:0
  journal_entry_lines                                5 rows  Code:11
  legal_services                                     5 rows  Code:2
  message_templates                                  5 rows  Code:3
  service_interests                                  5 rows  Code:12
  visual_test_suites                                 5 rows  Code:0
  business_overview                                  4 rows  Code:0
  calling_scripts                                    4 rows  Code:5
  colonies                                           4 rows  Code:87
  downloads                                          4 rows  Code:1
  progressive_registrations                          4 rows  Code:8
  retained_earnings                                  4 rows  Code:3
  salaries                                           4 rows  Code:0
  suppliers                                          4 rows  Code:1
  tax_slabs                                          4 rows  Code:1
  todays_highlights                                  4 rows  Code:0
  withdrawal_requests                                4 rows  Code:1
  budget_planning                                    3 rows  Code:0
  budgets                                            3 rows  Code:3
  cash_flow_projections                              3 rows  Code:0
  communication_interactions                         3 rows  Code:2
  communications                                     3 rows  Code:0
  conversations                                      3 rows  Code:12
  countries                                          3 rows  Code:2
  customer_alerts                                    3 rows  Code:4
  customer_inquiries                                 3 rows  Code:2
  employee_advances                                  3 rows  Code:0
  employee_bonuses                                   3 rows  Code:4
  favorites                                          3 rows  Code:22
  follow_ups                                         3 rows  Code:3
  gst_returns                                        3 rows  Code:2
  income_records                                     3 rows  Code:11
  investment_plans                                   3 rows  Code:5
  investor_details                                   3 rows  Code:0
  journal_entries                                    3 rows  Code:12
  legal_activities                                   3 rows  Code:2
  legal_deadlines                                    3 rows  Code:3
  legal_disputes                                     3 rows  Code:8
  loans                                              3 rows  Code:0
  market_trends                                      3 rows  Code:0
  messages                                           3 rows  Code:19
  mobile_app_keys                                    3 rows  Code:0
  mortgage_inquiries                                 3 rows  Code:0
  ocr_templates                                      3 rows  Code:1
  packages                                           3 rows  Code:8
  performance_benchmarks                             3 rows  Code:0
  performance_goals                                  3 rows  Code:4
  rera_requests                                      3 rows  Code:7
  revenue_summary                                    3 rows  Code:0
  sales                                              3 rows  Code:54
  saved_properties                                   3 rows  Code:1
  saved_searches                                     3 rows  Code:5
  sms_templates                                      3 rows  Code:1
  system_alerts                                      3 rows  Code:5
  system_backups                                     3 rows  Code:6
  tax_types                                          3 rows  Code:3
  tour_templates                                     3 rows  Code:0
  vendors                                            3 rows  Code:10
  admin                                              2 rows  Code:52
  construction_projects                              2 rows  Code:3
  customer_behavior_analysis                         2 rows  Code:3
  customer_journeys                                  2 rows  Code:3
  customers_ledger                                   2 rows  Code:1
  dynamic_footers                                    2 rows  Code:0
  dynamic_headers                                    2 rows  Code:0
  mobile_users                                       2 rows  Code:0
  otp_verifications                                  2 rows  Code:13
  sales_funnel                                       2 rows  Code:0
  seo_metadata                                       2 rows  Code:4
  special_offers                                     2 rows  Code:0
  user_preferences                                   2 rows  Code:8
  about                                              1 rows  Code:0
