table,before_rows,before_code_refs,now_status,now_rows,note
marketplace_apps,1,2,DROPPED,0,
mcp_data,1,0,DROPPED,0,
message_reactions,1,4,DROPPED,0,
migration_errors,1,0,DROPPED,0,
mobile_devices,1,4,DROPPED,0,
ocr_extracted_fields,1,4,DROPPED,0,
ocr_processing_queue,1,0,DROPPED,0,
partner_certification,1,0,DROPPED,0,
portfolio_goals,1,3,DROPPED,0,
predictive_models,1,1,DROPPED,0,
quick_replies,1,3,DROPPED,0,
quiz_questions,1,1,DROPPED,0,
recommendation_cache,1,2,DROPPED,0,
regional_performance,1,7,DROPPED,0,
saas_instances,1,0,DROPPED,0,
saved_comparisons,1,2,DROPPED,0,
seasonality_patterns,1,0,DROPPED,0,
smart_contracts,1,0,DROPPED,0,
system_health,1,0,DROPPED,0,
typing_indicators,1,6,DROPPED,0,
user_ai_profiles,1,2,DROPPED,0,
user_engagement,1,0,DROPPED,0,
user_similarity,1,1,DROPPED,0,
virtual_tour_assets,1,0,DROPPED,0,
websocket_channels,1,0,DROPPED,0,
users,56,1248,SURVIVED,56,
agents,2,0,SURVIVED,2,survived-0refs
banks,23,5,SURVIVED,23,
chart_of_accounts,9,16,SURVIVED,9,
bank_accounts,4,1,SURVIVED,4,survived-lowrefs
social_accounts,3,5,SURVIVED,3,
user_bank_accounts,3,8,SURVIVED,3,
inventory_plots,417,8,SURVIVED,417,
plots,194,146,SURVIVED,194,
property_images,34,66,SURVIVED,34,
user_properties,7,59,SURVIVED,7,
property_categories,5,7,SURVIVED,5,
property_favorites,5,16,SURVIVED,5,
property_types,5,44,SURVIVED,5,
property_views,5,31,SURVIVED,5,
plot_allocations,3,7,SURVIVED,3,
plot_bookings,3,9,SURVIVED,3,
plot_development,3,12,SURVIVED,3,
plot_development_costs,3,10,SURVIVED,3,
property_inquiries,3,14,SURVIVED,3,
property_maintenance,3,9,SURVIVED,3,
property_reviews,3,30,SURVIVED,3,
property_allocations,1,20,SURVIVED,1,
property_visits,1,9,SURVIVED,1,
lead_visits,26,5,SURVIVED,26,
bookings,18,203,SURVIVED,18,
visits,8,15,SURVIVED,8,
booking_payments,3,28,SURVIVED,3,
land_allocations,3,10,SURVIVED,3,
site_visits,3,17,SURVIVED,3,
wallet_points,42,42,SURVIVED,42,
loyalty_transactions,6,5,SURVIVED,6,
emi_installments,5,19,SURVIVED,5,
emi_schedule,5,8,SURVIVED,5,
transactions,5,26,SURVIVED,5,
emi_plans,3,33,SURVIVED,3,
farmer_transactions,3,9,SURVIVED,3,
financial_transactions,3,11,SURVIVED,3,
payments,3,79,SURVIVED,3,
