2025-05-01 23:49:04: Starting comprehensive duplicate file cleanup
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-smile.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-smile.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-surprised.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-surprised.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-tongue-out.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-tongue-out.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-undecided.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-undecided.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-wink.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-wink.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\emoticons\img\smiley-yell.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\emoticons\img\smiley-yell.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\help\img\logo.png (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\help\img\logo.png)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\plugins\visualblocks\css\visualblocks.css (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\plugins\visualblocks\css\visualblocks.css)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\content.inline.min.css (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\content.inline.min.css)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\content.min.css (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\content.min.css)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\content.mobile.min.css (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\content.mobile.min.css)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce-mobile.woff (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce-mobile.woff)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce-small.eot (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce-small.eot)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce-small.svg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce-small.svg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce-small.ttf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce-small.ttf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce-small.woff (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce-small.woff)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce.eot (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce.eot)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce.svg (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce.svg)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce.ttf (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce.ttf)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\fonts\tinymce.woff (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\fonts\tinymce.woff)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\img\anchor.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\img\anchor.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\img\loader.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\img\loader.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\img\object.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\img\object.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\img\trans.gif (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\img\trans.gif)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\skin.min.css (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\skin.min.css)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\skin.min.css.map (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\skin.min.css.map)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\skin.mobile.min.css (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\skin.mobile.min.css)
2025-05-01 23:51:20: Removed duplicate: C:\xampp\htdocs\apsdreamhomefinal\js\tinymce\skins\lightgray\skin.mobile.min.css.map (Backup: C:\xampp\htdocs\apsdreamhomefinal/backups/duplicate_files_2025-05-01_23-49-04\js\tinymce\skins\lightgray\skin.mobile.min.css.map)
2025-05-01 23:51:25: Duplicate files report generated: C:\xampp\htdocs\apsdreamhomefinal/logs/duplicate_files_report_2025-05-01.csv
2025-05-01 23:51:25: Duplicate file cleanup completed
